[ 00:00:00.008 -->  00:00:01.264] A SPEAKER_00
[ 00:00:01.893 -->  00:00:08.140] B SPEAKER_00
[ 00:00:08.378 -->  00:00:10.348] C SPEAKER_00
[ 00:00:10.365 -->  00:00:10.976] D SPEAKER_01
[ 00:00:10.415 -->  00:00:10.432] E SPEAKER_00
[ 00:00:10.806 -->  00:00:14.168] F SPEAKER_00
[ 00:00:14.354 -->  00:00:16.307] G SPEAKER_01
[ 00:00:16.154 -->  00:00:18.989] H SPEAKER_00
[ 00:00:19.702 -->  00:00:22.928] I SPEAKER_00
[ 00:00:23.268 -->  00:00:26.612] J SPEAKER_00
[ 00:00:26.578 -->  00:00:27.122] K SPEAKER_01
[ 00:00:27.631 -->  00:00:28.497] L SPEAKER_01
[ 00:00:30.076 -->  00:00:30.721] M SPEAKER_01
[ 00:00:30.721 -->  00:00:33.183] N SPEAKER_00
[ 00:00:33.539 -->  00:00:37.190] O SPEAKER_00
[ 00:00:37.122 -->  00:00:37.699] P SPEAKER_01
[ 00:00:38.412 -->  00:00:39.431] Q SPEAKER_00
[ 00:00:39.957 -->  00:00:46.188] R SPEAKER_00
[ 00:00:46.680 -->  00:00:48.208] S SPEAKER_00
[ 00:00:48.955 -->  00:00:50.059] T SPEAKER_00
[ 00:00:51.061 -->  00:00:51.859] U SPEAKER_01
[ 00:00:52.249 -->  00:01:00.874] V SPEAKER_00
[ 00:01:01.332 -->  00:01:03.013] W SPEAKER_00
[ 00:01:03.370 -->  00:01:05.186] X SPEAKER_01
[ 00:01:05.237 -->  00:01:05.967] Y SPEAKER_00
[ 00:01:06.239 -->  00:01:11.570] Z SPEAKER_00
[ 00:01:09.363 -->  00:01:09.923] AA SPEAKER_01
[ 00:01:11.893 -->  00:01:12.283] AB SPEAKER_01
[ 00:01:11.994 -->  00:01:15.186] AC SPEAKER_00
[ 00:01:14.354 -->  00:01:14.983] AD SPEAKER_01
[ 00:01:16.477 -->  00:01:17.241] AE SPEAKER_01
[ 00:01:17.241 -->  00:01:18.497] AF SPEAKER_00
[ 00:01:17.258 -->  00:01:17.275] AG SPEAKER_01
[ 00:01:18.735 -->  00:01:21.095] AH SPEAKER_00
[ 00:01:22.283 -->  00:01:23.251] AI SPEAKER_01
[ 00:01:22.996 -->  00:01:24.762] AJ SPEAKER_00
[ 00:01:25.016 -->  00:01:26.782] AK SPEAKER_01
[ 00:01:26.714 -->  00:01:28.395] AL SPEAKER_00
[ 00:01:28.056 -->  00:01:28.786] AM SPEAKER_01
[ 00:01:28.718 -->  00:01:31.672] AN SPEAKER_00
[ 00:01:31.808 -->  00:01:33.998] AO SPEAKER_01
